Position,Number,Name,Height,Weight,DOB,From,Team,Division,Conference
F,34,"Harris, Tobias",6 ft 9 in (2.06 m),235 lb (107 kg),1992-07-15,Tennessee,Detroit Pistons,Central,Eastern
G/F,6,"Hilliard, Darrun",6 ft 6 in (1.98 m),205 lb (93 kg),1993-04-13,Villanova,Detroit Pistons,Central,Eastern
G,1,"Jackson, Reggie",6 ft 3 in (1.91 m),208 lb (94 kg),1990-04-16,Boston College,Detroit Pistons,Central,Eastern
F,7,"Johnson, Stanley",6 ft 7 in (2.01 m),245 lb (111 kg),1996-05-29,Arizona,Detroit Pistons,Central,Eastern
F,30,"Leuer, Jon",6 ft 10 in (2.08 m),228 lb (103 kg),1989-05-14,Wisconsin,Detroit Pistons,Central,Eastern
C,51,"Marjanović, Boban",7 ft 3 in (2.21 m),290 lb (132 kg),1988-08-15,Serbia,Detroit Pistons,Central,Eastern
F,13,"Morris, Marcus",6 ft 9 in (2.06 m),235 lb (107 kg),1989-09-02,Kansas,Detroit Pistons,Central,Eastern
G,14,"Smith, Ish",6 ft 0 in (1.83 m),175 lb (79 kg),1988-07-05,Wake Forest,Detroit Pistons,Central,Eastern
G,19,"Udrih, Beno",6 ft 3 in (1.91 m),205 lb (93 kg),1982-07-05,Slovenia,Detroit Pistons,Central,Eastern
F,5,"Allen, Lavoy",6 ft 9 in (2.06 m),260 lb (118 kg),1989-02-04,Temple,Indiana Pacers,Central,Eastern
G,0,"Brooks, Aaron",6 ft 0 in (1.83 m),161 lb (73 kg),1985-01-14,Oregon,Indiana Pacers,Central,Eastern
F,25,"Christmas, Rakeem",6 ft 9 in (2.06 m),250 lb (113 kg),1991-12-01,Syracuse,Indiana Pacers,Central,Eastern
G,11,"Ellis, Monta",6 ft 3 in (1.91 m),185 lb (84 kg),1985-10-26,Lanier HS (MS),Indiana Pacers,Central,Eastern
F,13,"George, Paul (C)",6 ft 9 in (2.06 m),220 lb (100 kg),1990-05-02,Fresno State,Indiana Pacers,Central,Eastern
C,7,"Jefferson, Al",6 ft 10 in (2.08 m),289 lb (131 kg),1985-01-04,Prentiss HS (MS),Indiana Pacers,Central,Eastern
G/F,0,"Miles, C. J.",6 ft 6 in (1.98 m),225 lb (102 kg),1987-03-18,Skyline HS (TX),Indiana Pacers,Central,Eastern
F,32,"Niang, Georges",6 ft 8 in (2.03 m),230 lb (104 kg),1993-06-17,Iowa State,Indiana Pacers,Central,Eastern
G/F,40,"Robinson, Glenn",6 ft 6 in (1.98 m),222 lb (101 kg),1994-01-08,Michigan,Indiana Pacers,Central,Eastern
F/C,1,"Séraphin, Kevin",6 ft 10 in (2.08 m),278 lb (126 kg),1989-12-07,France,Indiana Pacers,Central,Eastern
G,2,"Stuckey, Rodney",6 ft 5 in (1.96 m),205 lb (93 kg),1986-04-21,Eastern Washington,Indiana Pacers,Central,Eastern
G,44,"Teague, Jeff",6 ft 2 in (1.88 m),186 lb (84 kg),1988-06-10,Wake Forest,Indiana Pacers,Central,Eastern
C,33,"Turner, Myles",6 ft 11 in (2.11 m),243 lb (110 kg),1996-03-24,Texas,Indiana Pacers,Central,Eastern
G,3,"Young, Joseph",6 ft 2 in (1.88 m),180 lb (82 kg),1992-06-27,Oregon,Indiana Pacers,Central,Eastern
F,21,"Young, Thaddeus",6 ft 8 in (2.03 m),221 lb (100 kg),1988-06-21,Georgia Tech,Indiana Pacers,Central,Eastern
G/F,34,"Antetokounmpo, Giannis (C)",6 ft 11 in (2.11 m),222 lb (101 kg),1994-12-06,Greece,Milwaukee Bucks,Central,Eastern
F,9,"Beasley, Michael",6 ft 10 in (2.08 m),235 lb (107 kg),1989-01-09,Kansas State,Milwaukee Bucks,Central,Eastern
G,13,"Brogdon, Malcolm",6 ft 5 in (1.96 m),215 lb (98 kg),1992-12-11,Virginia,Milwaukee Bucks,Central,Eastern
G,8,"Dellavedova, Matthew",6 ft 4 in (1.93 m),198 lb (90 kg),1990-09-08,Saint Mary's,Milwaukee Bucks,Central,Eastern
C,0,"Hawes, Spencer",7 ft 1 in (2.16 m),245 lb (111 kg),1988-04-28,Washington,Milwaukee Bucks,Central,Eastern
F/C,31,"Henson, John",6 ft 11 in (2.11 m),229 lb (104 kg),1990-12-28,North Carolina,Milwaukee Bucks,Central,Eastern
C,55,"Hibbert, Roy",7 ft 2 in (2.18 m),270 lb (122 kg),1986-12-11,Georgetown,Milwaukee Bucks,Central,Eastern
F/C,7,"Maker, Thon",7 ft 1 in (2.16 m),223 lb (101 kg),1997-02-25,Orangeville Prep (CAN),Milwaukee Bucks,Central,Eastern
G/F,22,"Middleton, Khris",6 ft 8 in (2.03 m),234 lb (106 kg),1991-08-12,Texas A&M,Milwaukee Bucks,Central,Eastern
F/C,15,"Monroe, Greg",6 ft 11 in (2.11 m),265 lb (120 kg),1990-06-04,Georgetown,Milwaukee Bucks,Central,Eastern
F,12,"Parker, Jabari",6 ft 8 in (2.03 m),250 lb (113 kg),1995-03-15,Duke,Milwaukee Bucks,Central,Eastern
G/F,21,"Snell, Tony",6 ft 7 in (2.01 m),217 lb (98 kg),1991-11-10,New Mexico,Milwaukee Bucks,Central,Eastern
F,35,"Teletović, Mirza",6 ft 9 in (2.06 m),245 lb (111 kg),1985-09-17,Bosnia and Herzegovina,Milwaukee Bucks,Central,Eastern
G,3,"Terry, Jason",6 ft 2 in (1.88 m),185 lb (84 kg),1977-09-15,Arizona,Milwaukee Bucks,Central,Eastern
G,20,"Vaughn, Rashad",6 ft 6 in (1.98 m),202 lb (92 kg),1996-08-16,UNLV,Milwaukee Bucks,Central,Eastern
G/F,24,"Bazemore, Kent",6 ft 5 in (1.96 m),201 lb (91 kg),1989-07-01,Old Dominion,Atlanta Hawks,Southeast,Eastern
F,95,"Bembry, DeAndre'",6 ft 6 in (1.98 m),210 lb (95 kg),1994-07-04,Saint Joseph's,Atlanta Hawks,Southeast,Eastern
G,5,"Delaney, Malcolm",6 ft 3 in (1.91 m),190 lb (86 kg),1989-03-11,Virginia Tech,Atlanta Hawks,Southeast,Eastern
G/F,34,"Dunleavy, Mike",6 ft 9 in (2.06 m),230 lb (104 kg),1980-09-25,Duke,Atlanta Hawks,Southeast,Eastern
G,10,"Hardaway, Tim",6 ft 6 in (1.98 m),205 lb (93 kg),1992-03-16,Michigan,Atlanta Hawks,Southeast,Eastern
C,8,"Howard, Dwight",6 ft 11 in (2.11 m),265 lb (120 kg),1985-12-08,SW Atlanta Academy (GA),Atlanta Hawks,Southeast,Eastern
F/C,43,"Humphries, Kris",6 ft 9 in (2.06 m),235 lb (107 kg),1985-02-06,Minnesota,Atlanta Hawks,Southeast,Eastern
F,4,"Millsap, Paul (C)",6 ft 8 in (2.03 m),246 lb (112 kg),1985-02-10,Louisiana Tech,Atlanta Hawks,Southeast,Eastern
F/C,31,"Muscala, Mike",6 ft 11 in (2.11 m),240 lb (109 kg),1991-07-01,Bucknell,Atlanta Hawks,Southeast,Eastern
G/F,13,"Patterson, Lamar",6 ft 5 in (1.96 m),225 lb (102 kg),1991-08-12,Pittsburgh,Atlanta Hawks,Southeast,Eastern
F,12,"Prince, Taurean",6 ft 8 in (2.03 m),220 lb (100 kg),1994-03-22,Baylor,Atlanta Hawks,Southeast,Eastern
G,17,"Schröder, Dennis (C)",6 ft 1 in (1.85 m),172 lb (78 kg),1993-09-15,Germany,Atlanta Hawks,Southeast,Eastern
F,32,"Scott, Mike",6 ft 8 in (2.03 m),237 lb (108 kg),1988-07-16,Virginia,Atlanta Hawks,Southeast,Eastern
G/F,25,"Sefolosha, Thabo",6 ft 7 in (2.01 m),220 lb (100 kg),1984-05-02,Switzerland,Atlanta Hawks,Southeast,Eastern
C,11,"Splitter, Tiago",6 ft 11 in (2.11 m),245 lb (111 kg),1985-01-01,Brazil,Atlanta Hawks,Southeast,Eastern
G/F,5,"Batum, Nicolas",6 ft 8 in (2.03 m),200 lb (91 kg),1988-12-14,France,Charlotte Hornets,Southeast,Eastern
G,21,"Belinelli, Marco",6 ft 5 in (1.96 m),210 lb (95 kg),1986-03-25,Italy,Charlotte Hornets,Southeast,Eastern
G/F,12,"Graham, Treveon",6 ft 6 in (1.98 m),226 lb (103 kg),1993-10-28,Virginia Commonwealth,Charlotte Hornets,Southeast,Eastern
F/C,44,"Kaminsky, Frank",7 ft 0 in (2.13 m),240 lb (109 kg),1993-04-04,Wisconsin,Charlotte Hornets,Southeast,Eastern
F,14,"Kidd-Gilchrist, Michael",6 ft 7 in (2.01 m),232 lb (105 kg),1993-09-26,Kentucky,Charlotte Hornets,Southeast,Eastern
G,3,"Lamb, Jeremy",6 ft 5 in (1.96 m),185 lb (84 kg),1992-05-30,Connecticut,Charlotte Hornets,Southeast,Eastern
G,30,"McCallum, Ray",6 ft 3 in (1.91 m),190 lb (86 kg),1991-06-12,Detroit,Charlotte Hornets,Southeast,Eastern
F/C,18,"Plumlee, Miles",6 ft 11 in (2.11 m),249 lb (113 kg),1988-09-01,Duke,Charlotte Hornets,Southeast,Eastern
G,22,"Roberts, Brian",6 ft 1 in (1.85 m),173 lb (78 kg),1985-12-03,Dayton,Charlotte Hornets,Southeast,Eastern
G,7,"Sessions, Ramon",6 ft 3 in (1.91 m),190 lb (86 kg),1986-04-11,Nevada,Charlotte Hornets,Southeast,Eastern
C,10,"Tobey, Mike",7 ft 0 in (2.13 m),253 lb (115 kg),1994-10-10,Virginia,Charlotte Hornets,Southeast,Eastern
G,15,"Walker, Kemba (C)",6 ft 1 in (1.85 m),184 lb (83 kg),1990-05-08,Connecticut,Charlotte Hornets,Southeast,Eastern
F,2,"Williams, Marvin",6 ft 9 in (2.06 m),237 lb (108 kg),1986-06-19,North Carolina,Charlotte Hornets,Southeast,Eastern
F,35,"Wood, Christian",6 ft 11 in (2.11 m),220 lb (100 kg),1995-09-27,UNLV,Charlotte Hornets,Southeast,Eastern
C,40,"Zeller, Cody",7 ft 0 in (2.13 m),240 lb (109 kg),1992-10-05,Indiana,Charlotte Hornets,Southeast,Eastern
F,5,"Babbitt, Luke",6 ft 9 in (2.06 m),225 lb (102 kg),1989-06-20,Nevada,Miami Heat,Southeast,Eastern
F/C,1,"Bosh, Chris",6 ft 11 in (2.11 m),235 lb (107 kg),1984-03-24,Georgia Tech,Miami Heat,Southeast,Eastern
G,7,"Dragić, Goran",6 ft 3 in (1.91 m),190 lb (86 kg),1986-05-06,Slovenia,Miami Heat,Southeast,Eastern
G,2,"Ellington, Wayne",6 ft 4 in (1.93 m),200 lb (91 kg),1987-11-29,North Carolina,Miami Heat,Southeast,Eastern
F/C,40,"Haslem, Udonis (C)",6 ft 8 in (2.03 m),235 lb (107 kg),1980-06-09,Florida,Miami Heat,Southeast,Eastern
F,16,"Johnson, James",6 ft 9 in (2.06 m),250 lb (113 kg),1987-02-20,Wake Forest,Miami Heat,Southeast,Eastern
G,8,"Johnson, Tyler",6 ft 4 in (1.93 m),186 lb (84 kg),1992-05-07,Fresno State,Miami Heat,Southeast,Eastern
G,17,"McGruder, Rodney",6 ft 4 in (1.93 m),205 lb (93 kg),1991-07-29,Kansas State,Miami Heat,Southeast,Eastern
F,4,"McRoberts, Josh",6 ft 10 in (2.08 m),240 lb (109 kg),1987-02-28,Duke,Miami Heat,Southeast,Eastern
F/C,35,"Reed, Willie",6 ft 10 in (2.08 m),220 lb (100 kg),1990-05-16,Saint Louis,Miami Heat,Southeast,Eastern
G,0,"Richardson, Josh",6 ft 6 in (1.98 m),200 lb (91 kg),1993-09-15,Tennessee,Miami Heat,Southeast,Eastern
G,11,"Waiters, Dion",6 ft 4 in (1.93 m),220 lb (100 kg),1991-12-10,Syracuse,Miami Heat,Southeast,Eastern
F,15,"White, Okaro",6 ft 8 in (2.03 m),215 lb (98 kg),1992-08-13,Florida State,Miami Heat,Southeast,Eastern
